firstname,middleInitial,lastname,username,password,ou
Minion001,,Minion01,Minion001,Password1234,"OU=Minions,DC=devinerickson,DC=com"
Minion002,,Minion02,Minion002,Password1235,"OU=Minions,DC=devinerickson,DC=com"
Minion003,,Minion03,Minion003,Password1236,"OU=Minions,DC=devinerickson,DC=com"
Minion004,,Minion04,Minion004,Password1237,"OU=Minions,DC=devinerickson,DC=com"
Minion005,,Minion05,Minion005,Password1238,"OU=Minions,DC=devinerickson,DC=com"
Minion006,,Minion06,Minion006,Password1239,"OU=Minions,DC=devinerickson,DC=com"
Minion007,,Minion07,Minion007,Password1240,"OU=Minions,DC=devinerickson,DC=com"
Minion008,,Minion08,Minion008,Password1241,"OU=Minions,DC=devinerickson,DC=com"
Minion009,,Minion09,Minion009,Password1242,"OU=Minions,DC=devinerickson,DC=com"
Minion010,,Minion10,Minion010,Password1243,"OU=Minions,DC=devinerickson,DC=com"
Minion011,,Minion11,Minion011,Password1244,"OU=Minions,DC=devinerickson,DC=com"
Minion012,,Minion12,Minion012,Password1245,"OU=Minions,DC=devinerickson,DC=com"
Minion013,,Minion13,Minion013,Password1246,"OU=Minions,DC=devinerickson,DC=com"
Minion014,,Minion14,Minion014,Password1247,"OU=Minions,DC=devinerickson,DC=com"
Minion015,,Minion15,Minion015,Password1248,"OU=Minions,DC=devinerickson,DC=com"
Minion016,,Minion16,Minion016,Password1249,"OU=Minions,DC=devinerickson,DC=com"
Minion017,,Minion17,Minion017,Password1250,"OU=Minions,DC=devinerickson,DC=com"
Minion018,,Minion18,Minion018,Password1251,"OU=Minions,DC=devinerickson,DC=com"
Minion019,,Minion19,Minion019,Password1252,"OU=Minions,DC=devinerickson,DC=com"
Minion020,,Minion20,Minion020,Password1253,"OU=Minions,DC=devinerickson,DC=com"
Minion021,,Minion21,Minion021,Password1254,"OU=Minions,DC=devinerickson,DC=com"
Minion022,,Minion22,Minion022,Password1255,"OU=Minions,DC=devinerickson,DC=com"
Minion023,,Minion23,Minion023,Password1256,"OU=Minions,DC=devinerickson,DC=com"
Minion024,,Minion24,Minion024,Password1257,"OU=Minions,DC=devinerickson,DC=com"
Minion025,,Minion25,Minion025,Password1258,"OU=Minions,DC=devinerickson,DC=com"
Minion026,,Minion26,Minion026,Password1259,"OU=Minions,DC=devinerickson,DC=com"
Minion027,,Minion27,Minion027,Password1260,"OU=Minions,DC=devinerickson,DC=com"
Minion028,,Minion28,Minion028,Password1261,"OU=Minions,DC=devinerickson,DC=com"
Minion029,,Minion29,Minion029,Password1262,"OU=Minions,DC=devinerickson,DC=com"
Minion030,,Minion30,Minion030,Password1263,"OU=Minions,DC=devinerickson,DC=com"
Minion031,,Minion31,Minion031,Password1264,"OU=Minions,DC=devinerickson,DC=com"
Minion032,,Minion32,Minion032,Password1265,"OU=Minions,DC=devinerickson,DC=com"
Minion033,,Minion33,Minion033,Password1266,"OU=Minions,DC=devinerickson,DC=com"
Minion034,,Minion34,Minion034,Password1267,"OU=Minions,DC=devinerickson,DC=com"
Minion035,,Minion35,Minion035,Password1268,"OU=Minions,DC=devinerickson,DC=com"
Minion036,,Minion36,Minion036,Password1269,"OU=Minions,DC=devinerickson,DC=com"
Minion037,,Minion37,Minion037,Password1270,"OU=Minions,DC=devinerickson,DC=com"
Minion038,,Minion38,Minion038,Password1271,"OU=Minions,DC=devinerickson,DC=com"
Minion039,,Minion39,Minion039,Password1272,"OU=Minions,DC=devinerickson,DC=com"
Minion040,,Minion40,Minion040,Password1273,"OU=Minions,DC=devinerickson,DC=com"
Minion041,,Minion41,Minion041,Password1274,"OU=Minions,DC=devinerickson,DC=com"
Minion042,,Minion42,Minion042,Password1275,"OU=Minions,DC=devinerickson,DC=com"
Minion043,,Minion43,Minion043,Password1276,"OU=Minions,DC=devinerickson,DC=com"
Minion044,,Minion44,Minion044,Password1277,"OU=Minions,DC=devinerickson,DC=com"
Minion045,,Minion45,Minion045,Password1278,"OU=Minions,DC=devinerickson,DC=com"
Minion046,,Minion46,Minion046,Password1279,"OU=Minions,DC=devinerickson,DC=com"
Minion047,,Minion47,Minion047,Password1280,"OU=Minions,DC=devinerickson,DC=com"
Minion048,,Minion48,Minion048,Password1281,"OU=Minions,DC=devinerickson,DC=com"
Minion049,,Minion49,Minion049,Password1282,"OU=Minions,DC=devinerickson,DC=com"
Minion050,,Minion50,Minion050,Password1283,"OU=Minions,DC=devinerickson,DC=com"
Minion051,,Minion51,Minion051,Password1284,"OU=Minions,DC=devinerickson,DC=com"
Minion052,,Minion52,Minion052,Password1285,"OU=Minions,DC=devinerickson,DC=com"
Minion053,,Minion53,Minion053,Password1286,"OU=Minions,DC=devinerickson,DC=com"
Minion054,,Minion54,Minion054,Password1287,"OU=Minions,DC=devinerickson,DC=com"
Minion055,,Minion55,Minion055,Password1288,"OU=Minions,DC=devinerickson,DC=com"
